gx,gy,gz,wx,wy,wz
-0.021649,0.999047,-0.036987,0.001953,0.000000,-0.001953
-0.021649,0.999047,-0.036987,0.000000,-0.001953,0.000000
-0.021733,0.999071,-0.036987,0.000000,0.000000,-0.001953
-0.021733,0.999071,-0.036987,0.001953,0.000000,0.000000
-0.021733,0.999071,-0.036987,0.001953,-0.001953,0.000000
-0.021733,0.999071,-0.036987,0.000000,-0.001953,0.001953
-0.021733,0.999071,-0.036987,0.000000,-0.001953,0.001953
-0.021733,0.999071,-0.036987,0.000000,-0.001953,0.001953
-0.021733,0.999071,-0.036987,0.000000,-0.001953,-0.001953
-0.021733,0.999071,-0.036987,0.001953,0.000000,0.000000
-0.021733,0.999071,-0.036987,0.001953,0.000000,0.001953
-0.021652,0.999095,-0.037034,0.001953,0.000000,0.000000
-0.021733,0.999071,-0.036987,-0.001953,0.001953,0.000000
-0.021568,0.999072,-0.037034,0.001953,0.001953,0.001953
-0.021592,0.999153,-0.037204,0.001953,-0.001953,-0.001953
-0.021616,0.999068,-0.037204,0.005859,0.000000,-0.001953
-0.021616,0.999068,-0.037204,0.001953,0.000000,0.001953
-0.021616,0.999068,-0.037204,0.005859,0.000000,0.001953
-0.021616,0.999068,-0.037204,0.001953,0.000000,0.000000
-0.021616,0.999068,-0.037204,-0.001953,0.000000,0.000000
-0.021616,0.999068,-0.037204,0.000000,0.000000,-0.001953
-0.021616,0.999068,-0.037204,-0.001953,-0.001953,-0.001953
-0.021616,0.999068,-0.037204,0.003906,0.000000,-0.001953
-0.021640,0.999149,-0.037373,0.001953,0.000000,0.000000
-0.021664,0.999064,-0.037373,0.003906,0.000000,0.000000
-0.021664,0.999064,-0.037373,0.001953,0.000000,0.000000
-0.021664,0.999064,-0.037373,0.001953,0.000000,0.001953
-0.021664,0.999064,-0.037373,0.000000,0.000000,0.000000
-0.021664,0.999064,-0.037373,-0.001953,0.001953,-0.001953
-0.021664,0.999064,-0.037373,0.000000,0.001953,-0.003906
-0.021745,0.999040,-0.037326,0.000000,-0.001953,0.001953
-0.021640,0.999149,-0.037373,-0.005859,0.000000,0.001953
-0.021616,0.999068,-0.037204,-0.001953,0.000000,-0.001953
-0.021616,0.999068,-0.037204,-0.001953,-0.001953,0.001953
-0.021616,0.999068,-0.037204,0.000000,0.000000,0.000000
-0.021616,0.999068,-0.037204,0.001953,0.000000,0.000000
-0.021697,0.999044,-0.037156,0.000000,0.001953,0.000000
-0.021697,0.999044,-0.037156,0.000000,0.000000,0.001953
-0.021697,0.999044,-0.037156,0.001953,0.000000,-0.001953
-0.021697,0.999044,-0.037156,0.000000,0.000000,-0.001953
-0.021697,0.999044,-0.037156,0.000000,-0.003906,0.001953
-0.021616,0.999068,-0.037204,0.000000,0.000000,-0.001953
-0.021697,0.999044,-0.037156,-0.001953,-0.001953,-0.001953
-0.021782,0.999067,-0.037156,-0.001953,0.000000,0.000000
-0.021782,0.999067,-0.037156,-0.001953,-0.001953,0.000000
-0.021782,0.999067,-0.037156,-0.001953,0.000000,-0.001953
-0.021782,0.999067,-0.037156,0.000000,0.000000,0.000000
-0.021782,0.999067,-0.037156,0.000000,0.000000,-0.001953
-0.021782,0.999067,-0.037156,-0.003906,0.000000,0.001953
-0.021782,0.999067,-0.037156,0.000000,0.001953,0.003906
-0.021733,0.999071,-0.036987,0.000000,0.000000,0.001953
-0.021652,0.999095,-0.037034,0.000000,-0.001953,0.001953
