t_s,iteration,sensor_mode,psi_deg,psi_dot_dps,psi_enc_deg,psi_imu_deg,phi_yaw_deg,setpoint_deg,rest_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.6925,137,enc,15.8400,74.8739,15.8400,14.9471,-1.1049,90.00,84.92,74.1600,14.9175,0.292959,0.659200,0.049725,-0.415966,0.000000,1365
0.6975,138,enc,16.3800,84.8117,16.3800,14.9471,-1.1049,90.00,84.92,73.6200,15.2856,0.234176,0.654400,0.050952,-0.471176,0.000000,1385
0.7026,139,enc,16.7400,80.9682,16.7400,14.9471,-1.1049,90.00,84.92,73.2600,15.6519,0.253550,0.651200,0.052173,-0.449823,0.000000,1379
0.7077,140,enc,17.1000,78.2777,17.1000,14.9471,-1.1049,90.00,84.92,72.9000,16.0164,0.266512,0.648000,0.053388,-0.434876,0.000000,1375
0.7128,141,enc,17.6400,87.1944,17.6400,14.9471,-1.1049,90.00,84.92,72.3600,16.3782,0.213381,0.643200,0.054594,-0.484413,0.000000,1394
0.7189,142,enc,18.0000,82.6361,18.0000,14.9471,-1.1049,90.00,84.92,72.0000,16.7382,0.236705,0.640000,0.055794,-0.459089,0.000000,1386
0.7240,143,enc,18.5400,90.2453,18.5400,14.9471,-1.1049,90.00,84.92,71.4600,17.0955,0.190822,0.635200,0.056985,-0.501363,0.000000,1403
0.7292,144,enc,18.9000,84.7717,18.9000,14.9471,-1.1049,90.00,84.92,71.1000,17.4510,0.219216,0.632000,0.058170,-0.470954,0.000000,1392
0.7342,145,enc,19.2600,80.9402,19.2600,14.9471,-1.1049,90.00,84.92,70.7400,17.8047,0.238481,0.628800,0.059349,-0.449668,0.000000,1385
0.7393,146,enc,19.8000,89.0581,19.8000,19.0047,-1.0427,90.00,84.92,70.2000,18.1557,0.189752,0.624000,0.060519,-0.494767,0.000000,1403
0.7458,147,enc,19.9800,73.1407,19.9800,19.0047,-1.0427,90.00,84.92,70.0200,18.5058,0.277749,0.622400,0.061686,-0.406337,0.000000,1383
0.7509,148,enc,20.3400,72.7985,20.3400,19.0047,-1.0427,90.00,84.92,69.6600,18.8541,0.277611,0.619200,0.062847,-0.404436,0.000000,1370
0.7560,149,enc,20.7000,72.5589,20.7000,19.0047,-1.0427,90.00,84.92,69.3000,19.2006,0.276897,0.616000,0.064002,-0.403105,0.000000,1371
0.7611,150,enc,21.2400,83.1913,21.2400,19.0047,-1.0427,90.00,84.92,68.7600,19.5444,0.214174,0.611200,0.065148,-0.462174,0.000000,1391
0.7661,151,enc,21.6000,79.8339,21.6000,19.0047,-1.0427,90.00,84.92,68.4000,19.8864,0.230766,0.608000,0.066288,-0.443522,0.000000,1388
0.7712,152,enc,22.1400,88.2837,22.1400,19.0047,-1.0427,90.00,84.92,67.8600,20.2257,0.180154,0.603200,0.067419,-0.490465,0.000000,1407
0.7763,153,enc,22.5000,83.3986,22.5000,19.0047,-1.0427,90.00,84.92,67.5000,20.5632,0.205218,0.600000,0.068544,-0.463326,0.000000,1398
0.7814,154,enc,23.0400,90.7790,23.0400,19.0047,-1.0427,90.00,84.92,66.9600,20.8980,0.160532,0.595200,0.069660,-0.504328,0.000000,1414
0.7864,155,enc,23.4000,85.1453,23.4000,23.2313,-1.0072,90.00,84.92,66.6000,21.2310,0.189740,0.592000,0.070770,-0.473030,0.000000,1403
