t_s,psi_deg,psi_dot_dps,pwm_us
13.1169,-0.4535,-92.4342,1500
13.1371,-0.4535,-92.4342,1500
13.1572,2.6919,-88.1818,1500
13.1773,2.6919,-88.1818,1500
13.1983,7.0371,-88.1818,1500
13.2184,7.0371,-77.3269,1500
13.2385,7.0371,-77.3269,1500
13.2586,10.6579,-60.3172,1500
13.2786,10.6579,-60.3172,1500
13.2987,13.3924,-60.3172,1500
13.3188,13.3924,-35.2503,1500
13.3389,13.3924,-35.2503,1500
13.3590,13.1876,43.0837,1500
13.3791,13.1876,43.0837,1500
13.3992,10.7548,43.0837,1500
13.4192,10.7548,60.5410,1500
13.4393,10.7548,60.5410,1500
13.4594,7.5294,73.2983,1500
13.4794,7.5294,73.2983,1500
13.4995,3.7929,73.2983,1500
13.5196,3.7929,80.6841,1500
13.5396,3.7929,80.6841,1500
13.5597,-0.3388,81.9151,1500
13.5798,-0.3388,81.9151,1500
13.5998,1.8975,81.9151,1500
13.6199,1.8975,77.4388,1500
13.6400,1.8975,77.4388,1500
13.6600,5.6272,67.2554,1500
13.6801,5.6272,67.2554,1500
13.7001,8.7797,67.2554,1500
13.7202,8.7797,52.3719,1500
13.7403,8.7797,52.3719,1500
13.7604,11.0930,33.9075,1500
13.7804,11.0930,33.9075,1500
13.8005,12.4551,33.9075,1500
13.8206,12.4551,12.8692,1500
13.8406,12.4551,12.8692,1500
13.8608,12.7736,-8.7287,1500
13.8809,12.7736,-8.7287,1500
13.9010,12.0146,-8.7287,1500
13.9211,12.0146,-29.3193,1500
13.9412,12.0146,-29.3193,1500
13.9613,10.2618,-47.5600,1500
13.9813,10.2618,-47.5600,1500
