t_s,iteration,psi_enc_deg,psi_dot_enc_dps,phi_yaw_deg,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.9632,168,35.6400,69.5932,-1.1357,90.00,84.79,174.79,54.3600,33.8121,0.231991,0.483200,0.112707,-0.386629,0.022713,1388
0.9683,169,36.1800,81.1152,-1.1357,90.00,84.79,174.79,53.8200,34.0812,0.164077,0.478400,0.113604,-0.450640,0.022713,1408
0.9734,170,36.7200,89.1807,-1.1357,90.00,84.79,174.79,53.2800,34.3476,0.115357,0.473600,0.114492,-0.495448,0.022713,1428
0.9785,171,37.0800,84.0265,-1.1357,90.00,84.79,174.79,52.9200,34.6122,0.141673,0.470400,0.115374,-0.466814,0.022713,1421
0.9837,172,37.4400,80.4185,-1.1357,90.00,84.79,174.79,52.5600,34.8750,0.159394,0.467200,0.116250,-0.446770,0.022713,1415
0.9888,173,37.8000,77.8930,-1.1357,90.00,84.79,174.79,52.2000,35.1360,0.171094,0.464000,0.117120,-0.432739,0.022713,1410
0.9939,174,37.9800,65.3251,-1.1474,90.00,84.79,174.79,52.0200,35.3961,0.240183,0.462400,0.117987,-0.362917,0.022713,1390
0.9990,175,38.1600,56.5276,-1.1474,90.00,84.79,174.79,51.8400,35.6553,0.288322,0.460800,0.118851,-0.314042,0.022713,1370
1.0041,176,38.7000,71.9693,-1.1474,90.00,84.79,174.79,51.3000,35.9118,0.198590,0.456000,0.119706,-0.399829,0.022713,1390
1.0092,177,38.8800,61.1785,-1.1474,90.00,84.79,174.79,51.1200,36.1674,0.257791,0.454400,0.120558,-0.339881,0.022713,1378
1.0143,178,39.4200,75.2250,-1.1474,90.00,84.79,174.79,50.5800,36.4203,0.175798,0.449600,0.121401,-0.417916,0.022713,1398
1.0194,179,39.7800,74.2575,-1.1474,90.00,84.79,174.79,50.2200,36.6714,0.178810,0.446400,0.122238,-0.412541,0.022713,1407
1.0245,180,39.9600,62.7802,-1.1474,90.00,84.79,174.79,50.0400,36.9216,0.241806,0.444800,0.123072,-0.348779,0.022713,1387
