wall,t,tgt,ref,angle,err,u,pwm,P,I,D,gz
1786719172.2632468,11.720001732000128,60.0,60.0,61.50143753417825,-1.501437534178251,0.2037007130862395,1364.8157718124035,-0.036687039878209524,0.23605865640162177,0.0040146362210139955,-0.00390625
1786719172.2859538,11.740001052000025,60.0,60.0,61.50143753417825,-1.501437534178251,0.20097747101181784,1365.6872092762183,-0.036687039878209524,0.23574419605980856,0.0016058544884055982,0.0
1786719172.303126,11.760000780000155,60.0,60.0,61.50143753417825,-1.501437534178251,0.19969949797696127,1366.0961606473725,-0.036687039878209524,0.23542973571799533,0.0006423417953622393,0.0
1786719172.3247056,11.78000106400009,60.0,60.0,61.49655373645351,-1.4965537364535066,0.19911896624834818,1366.2819308005287,-0.036567706187792044,0.23511629823638566,0.00025693671814489574,0.0
1786719172.3447511,11.800001088000045,60.0,60.0,61.49655373645351,-1.4965537364535066,0.1968935542358516,1366.9940626445275,-0.036567706187792044,0.23480286075477602,-0.0016550378127420417,0.001953125
1786719172.3631341,11.820001150000053,60.0,60.0,61.49655373645351,-1.4965537364535066,0.19581532694188716,1367.339095378596,-0.036567706187792044,0.23448942327316635,-0.0024198276250968166,0.001953125
1786719172.385936,11.840001174000008,60.0,60.0,61.49160341048102,-1.4916034104810196,0.19883255781750925,1366.373581498397,-0.0364467469056184,0.2341770225854039,0.0007898814499612731,-0.001953125
1786719172.4030676,11.860000921000164,60.0,60.0,61.49160341048102,-1.4916034104810196,0.19980404075977,1366.0627069568736,-0.0364467469056184,0.23386462189764146,0.0020737650799845095,-0.001953125
1786719172.424671,11.880000982000183,60.0,60.0,61.49160341048102,-1.4916034104810196,0.20000519352401688,1365.9983380723147,-0.0364467469056184,0.233552221209879,0.0025873185319938035,-0.001953125
1786719172.4447045,11.90000074700015,60.0,60.0,61.49160341048102,-1.4916034104810196,0.20341383921705813,1364.9075714505414,-0.0364467469056184,0.23323982052211656,0.006308364912797521,-0.005859375
1786719172.463096,11.920000883000057,60.0,60.0,61.49160341048102,-1.4916034104810196,0.20458985708161717,1364.5312457338825,-0.0364467469056184,0.2329274198343541,0.007796783465119007,-0.005859375
1786719172.4858136,11.940000833000113,60.0,60.0,61.486229844994625,-1.4862298449946252,0.19797287478921607,1366.6486800674509,-0.036315445931185644,0.23261614458351537,0.0013609008860476033,0.001953125
1786719172.502933,11.960000709000042,60.0,60.0,61.486229844994625,-1.4862298449946252,0.19508724650674877,1367.5720811178403,-0.036315445931185644,0.23230486933267666,-0.0012134521455809586,0.001953125
1786719172.5245912,11.980001048000076,60.0,60.0,61.4861625682895,-1.486162568289501,0.19374787392327866,1368.0006803445508,-0.036313802051165606,0.2319936081722381,-0.0022431933582323835,0.001953125
1786719172.5444403,12.000001091000058,60.0,60.0,61.4861625682895,-1.486162568289501,0.20005596627777955,1365.9820907911105,-0.036313802051165606,0.23168234701179957,0.004376160156707046,-0.005859375
1786719172.5628767,12.02000106000014,60.0,60.0,61.4861625682895,-1.486162568289501,0.20239244652331678,1365.2344171125387,-0.036313802051165606,0.231371085851361,0.007023901562682818,-0.005859375
1786719172.5856657,12.040000769000017,60.0,60.0,61.486229844994625,-1.4862298449946252,0.2013808255452485,1365.5581358255204,-0.036315445931185644,0.23105981060052228,0.0063251856250731275,-0.00390625
1786719172.602771,12.060000757000125,60.0,60.0,61.486229844994625,-1.4862298449946252,0.2007900639193659,1365.747179545803,-0.036315445931185644,0.23074853534968356,0.006045699250029251,-0.00390625
1786719172.624567,12.08000072599998,60.0,60.0,61.48078883295673,-1.4807888329567334,0.20049994312309222,1365.8400182006105,-0.03618249692660304,0.23043839966174123,0.0059339047000117,-0.00390625
1786719172.644457,12.100001434999967,60.0,60.0,61.48078883295673,-1.4807888329567334,0.1948716521151429,1367.6410713231544,-0.03618249692660304,0.23012826397379893,0.00061574938000468,0.001953125
1786719172.6628478,12.120000978000007,60.0,60.0,61.48078883295673,-1.4807888329567334,0.19243425429919778,1368.4210386242567,-0.03618249692660304,0.22981812828585663,-0.0015115127479981279,0.001953125
1786719172.6855545,12.140000891,60.0,60.0,61.48078883295673,-1.4807888329567334,0.19303102626005436,1368.2300715967826,-0.03618249692660304,0.2295079925979143,-0.0006046050991992512,0.0
1786719172.7027514,12.160000803999992,60.0,60.0,61.48078883295673,-1.4807888329567334,0.19308365363163155,1368.213230837878,-0.03618249692660304,0.229197856909972,-0.00024184203967970048,0.0
1786719172.724204,12.1800009210001,60.0,60.0,61.48543355696714,-1.4854335569671377,0.1928051311499379,1368.3023580320198,-0.03629598894416223,0.22888674843330772,-9.673681587188019e-05,0.0
1786719172.744271,12.20000072400012,60.0,60.0,61.48543355696714,-1.4854335569671377,0.19079425226279675,1368.945839275905,-0.03629598894416223,0.22857563995664348,-0.001796507226348752,0.001953125
1786719172.7627075,12.220000933000165,60.0,60.0,61.48543355696714,-1.4854335569671377,0.18980323562194176,1369.2629646009786,-0.03629598894416223,0.22826453147997922,-0.002476415390539501,0.001953125
1786719172.7853522,12.240001069000073,60.0,60.0,61.48078883295673,-1.4807888329567334,0.19284928089716039,1368.2882301129086,-0.03618249692660304,0.2279543957920369,0.0007672463437841995,-0.001953125
1786719172.8027103,12.260000945000002,60.0,60.0,61.48078883295673,-1.4807888329567334,0.19383660990294757,1367.9722848310569,-0.03618249692660304,0.22764426010409458,0.00206471103751368,-0.001953125
1786719172.8240588,12.280001080000147,60.0,60.0,61.48573987003823,-1.4857398700382305,0.19392448343465238,1367.9441653009112,-0.03630347358444768,0.22733308747337078,0.0025836969150054715,-0.001953125
1786719172.844072,12.300001271000156,60.0,60.0,61.48573987003823,-1.4857398700382305,0.1903052801549253,1369.102310350424,-0.03630347358444768,0.22702191484264694,-0.0007243337339978113,0.001953125
1786719172.8628278,12.320001147000085,60.0,60.0,61.48573987003823,-1.4857398700382305,0.18867089526460012,1369.625313515328,-0.03630347358444768,0.2267107422119231,-0.0020475459935991244,0.001953125
1786719172.8852043,12.340000950000103,60.0,60.0,61.481279226435134,-1.4812792264351344,0.18618161931472066,1370.4218818192894,-0.03619447949976281,0.22640050381621088,-0.00433464339743965,0.00390625
1786719172.9027157,12.360001195999985,60.0,60.0,61.481279226435134,-1.4812792264351344,0.18495654195747221,1370.8139065736088,-0.03619447949976281,0.22609026542049865,-0.005249482358975859,0.00390625
1786719172.9246104,12.380000832000178,60.0,60.0,61.47632873384302,-1.4763287338430189,0.18440133133060468,1370.9915739742064,-0.0360735161463036,0.22578106385353033,-0.005615417943590344,0.00390625
1786719172.9439554,12.400000986000123,60.0,60.0,61.47632873384302,-1.4763287338430189,0.1892191930297906,1369.449858230467,-0.0360735161463036,0.22547186228656202,-0.0004883546774361378,-0.001953125
1786719172.9627063,12.420000788000152,60.0,60.0,61.47632873384302,-1.4763287338430189,0.19096081676928395,1368.8925386338292,-0.0360735161463036,0.22516266071959373,0.0015624706290255446,-0.001953125
1786719172.9855611,12.440000960000134,60.0,60.0,61.47144543266691,-1.4714454326669115,0.19334907938234577,1368.1282945976493,-0.03595419458885818,0.2248544819088321,0.0041406132516102175,-0.00390625
1786719173.0026875,12.46000085500009,60.0,60.0,61.47144543266691,-1.4714454326669115,0.194072157620618,1367.8969095614023,-0.03595419458885818,0.22454630309807042,0.005171870300644086,-0.00390625
1786719173.0244226,12.480000751000034,60.0,60.0,61.47144543266691,-1.4714454326669115,0.19417648162946988,1367.8635258785696,-0.03595419458885818,0.22423812428730877,0.005584373120257635,-0.00390625
1786719173.0442584,12.500000905999968,60.0,60.0,61.47144543266691,-1.4714454326669115,0.19754892894655365,1366.7843427371029,-0.03595419458885818,0.22392994547654713,0.009264999248103053,-0.0078125
1786719173.062771,12.520001024000067,60.0,60.0,61.47144543266691,-1.4714454326669115,0.19871300058693017,1366.4118398121823,-0.03595419458885818,0.22362176666578548,0.010737249699241221,-0.0078125
1786719173.0856817,12.540000754000175,60.0,60.0,61.465765217842176,-1.4657652178421756,0.19561689078790093,1367.4025949478716,-0.03581540075758105,0.22331477751643478,0.0078105248796964885,-0.00390625
1786719173.1030376,12.560001520000014,60.0,60.0,61.465765217842176,-1.4657652178421756,0.1941392117107323,1367.8754522525655,-0.03581540075758105,0.22300778836708407,0.006639834951878596,-0.00390625
1786719173.1246438,12.580001786000139,60.0,60.0,61.47583792187507,-1.475837921875069,0.1931178240003204,1368.2022963198974,-0.03606152334751512,0.22269868959553393,0.006171558980751438,-0.00390625
1786719173.1444888,12.600001238000004,60.0,60.0,61.47583792187507,-1.475837921875069,0.18734797734031938,1370.048647251098,-0.03606152334751512,0.22238959082398382,0.0007108110923005754,0.001953125
1786719173.1627705,12.620001263000177,60.0,60.0,61.47583792187507,-1.475837921875069,0.18485457941338895,1370.8465345877155,-0.03606152334751512,0.2220804920524337,-0.0014734880630797697,0.001953125
1786719173.1855445,12.640000955999994,60.0,60.0,61.47583792187507,-1.475837921875069,0.18191394847968667,1371.7875364865004,-0.03606152334751512,0.22177139328088355,-0.004105020225231908,0.00390625
1786719173.2027109,12.660000815000103,60.0,60.0,61.47583792187507,-1.475837921875069,0.18055223684327568,1372.2232842101519,-0.03606152334751512,0.2214622945093334,-0.005157633090092763,0.00390625
1786719173.2254703,12.680001155000127,60.0,60.0,61.47583792187507,-1.475837921875069,0.1798220929257812,1372.45693026375,-0.03606152334751512,0.22115319573778328,-0.005578678236037105,0.00390625
1786719173.2429268,12.700001422000014,60.0,60.0,61.47583792187507,-1.475837921875069,0.17934457609585333,1372.609735649327,-0.03606152334751512,0.22084409696623317,-0.0057470962944148425,0.00390625
1786719173.2628639,12.72000105799998,60.0,60.0,61.47583792187507,-1.475837921875069,0.17896811010095212,1372.7302047676953,-0.03606152334751512,0.22053499819468303,-0.005814463517765937,0.00390625
